lessonId	lessonTitle	grade	semester	subject	cardId	cardTitle	cardKind	narrationSource	hasAudioAsset	expectedAssetPath	existingAssetPath	narrationText
g1-upper-chinese-habits	入学准备和好习惯	一年级	上册	语文	step-1	摆摆好	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-1.mp3	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-1.mp3	第一步，摆摆好。进教室先把书包放好，小手轻轻放，小眼睛看前面。
g1-upper-chinese-habits	入学准备和好习惯	一年级	上册	语文	step-2	学礼貌	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-2.mp3	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-2.mp3	第二步，学礼貌。见到老师会问好，回答问题声音亮亮的。
g1-upper-chinese-habits	入学准备和好习惯	一年级	上册	语文	step-3	坐端正	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-3.mp3	frontend/src/assets/audio/study/g1-upper-chinese-habits/step-3.mp3	第三步，坐端正。写字时记住一拳、一尺、一寸，小身体像小松树。
g1-upper-chinese-habits	入学准备和好习惯	一年级	上册	语文	example	跟我做	example	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-habits/example.mp3	frontend/src/assets/audio/study/g1-upper-chinese-habits/example.mp3	跟我做一遍。小手放好，背挺一挺，再说一说写字三个一。一拳、一尺、一寸记住了，写字会更轻松。
g1-upper-chinese-habits	入学准备和好习惯	一年级	上册	语文	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-habits/memory.mp3	frontend/src/assets/audio/study/g1-upper-chinese-habits/memory.mp3	记住上课小口令。会问好，坐端正，写字三个一。
g1-upper-chinese-literacy	笔画和识字起步	一年级	上册	语文	step-1	看样子	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-1.mp3	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-1.mp3	第一步，看样子。先看看这个字像什么，有的像树，有的像山。
g1-upper-chinese-literacy	笔画和识字起步	一年级	上册	语文	step-2	数笔画	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-2.mp3	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-2.mp3	第二步，数笔画。伸出小手数一数，这个字有几笔，哪一笔先来。
g1-upper-chinese-literacy	笔画和识字起步	一年级	上册	语文	step-3	跟着写	step	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-3.mp3	frontend/src/assets/audio/study/g1-upper-chinese-literacy/step-3.mp3	第三步，跟着写。照着笔顺慢慢写，不抢跑，字就会更好看。
g1-upper-chinese-literacy	笔画和识字起步	一年级	上册	语文	example	一起认一认	example	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-literacy/example.mp3	frontend/src/assets/audio/study/g1-upper-chinese-literacy/example.mp3	一起认一认。看到一个字，先找它有几笔，再说第一笔从哪儿起。会数笔画，会看笔顺，就是识字起步的小钥匙。
g1-upper-chinese-literacy	笔画和识字起步	一年级	上册	语文	memory	记忆小口令	memory	custom	yes	frontend/src/assets/audio/study/g1-upper-chinese-literacy/memory.mp3	frontend/src/assets/audio/study/g1-upper-chinese-literacy/memory.mp3	记住认字小口令。先看样子，再数笔画，最后按顺序写。
