学科,年级,学期,知识标签,题型,题目,题目图片,选项A,选项B,选项C,选项D,答案,解析,难度
语文,二年级,通用,,词语分类,下面哪个词语表示动作？,,蓝天,苹果,老师,跳绳,D,“跳绳”表示在做什么，属于动作词。,1
语文,二年级,通用,,近义词,“高兴”的近义词是哪一个？,,开心,难过,着急,安静,A,“高兴”和“开心”意思相近。,1
语文,二年级,通用,,反义词,“安静”的反义词是哪一个？,,整齐,热闹,认真,明亮,B,“安静”相反的是“热闹”。,1
语文,二年级,通用,,标点符号,句子讲完一件事后，常用哪个标点？,,问号,书名号,句号,破折号,C,一句陈述的话说完，通常用句号。,1
语文,二年级,通用,,标点符号,表示提问题时，句末常用哪个标点？,,逗号,顿号,引号,问号,D,有疑问、提问题的句子一般用问号。,1
语文,三年级,通用,,古诗积累,“春眠不觉晓”的下一句是什么？,,处处闻啼鸟,夜来风雨声,花落知多少,低头思故乡,A,这两句都出自《春晓》，“春眠不觉晓，处处闻啼鸟”。,1
语文,三年级,通用,,古诗积累,“举头望明月”的下一句是什么？,,疑是地上霜,低头思故乡,处处闻啼鸟,飞流直下三千尺,B,这是《静夜思》中的名句，“举头望明月，低头思故乡”。,1
语文,三年级,通用,,词语运用,下面哪个词语最适合形容雨下得很大？,,哈哈大笑,一动不动,倾盆大雨,慢条斯理,C,“倾盆大雨”专门形容雨下得很大。,1
语文,三年级,通用,,成语理解,“一心一意”最适合形容哪种状态？,,走路很慢,声音很大,天气很冷,做事专心,D,“一心一意”表示专心、认真。,2
语文,三年级,通用,,词义理解,“已经”表示事情怎样？,,发生过了,还没开始,完全不知道,永远不会发生,A,“已经”说明事情完成了或发生过了。,1
语文,三年级,通用,,关联词,“因为下雨，所以带伞。” 这句话里“所以”后面接的是什么？,,原因,结果,人物,地点,B,“因为”后面常说原因，“所以”后面常说结果。,2
语文,四年级,通用,,词语搭配,下面哪个词语搭配更恰当？,,清澈的雷声,清澈的操场,清澈的河水,清澈的书包,C,“清澈”一般用来形容水很清。,1
语文,四年级,通用,,成语理解,“专心致志”中的“致”最接近哪层意思？,,打开,送给,变化,集中,D,“专心致志”表示把心思集中在一件事上。,3
语文,四年级,通用,,阅读方法,读书时遇到不懂的地方，最合适的做法是？,,查资料或请教,永远跳过,随便猜意思,把书合上,A,查资料、请教别人能帮助我们真正弄懂问题。,2
语文,四年级,通用,,修辞判断,下列哪句是比喻句？,,我今天去学校,弯弯的月亮像小船,小狗在门口睡觉,我们一起做游戏,B,把月亮比作小船，就是比喻句。,2
语文,四年级,通用,,句意理解,“他跑得像风一样快”主要想说明什么？,,今天风很大,他喜欢吹风,他跑得很快,他在找风,C,这里用“像风一样快”来突出速度快。,2
语文,五年级,通用,,句子理解,“先天下之忧而忧，后天下之乐而乐”表达了什么情怀？,,只顾自己,害怕学习,喜欢睡觉,关心大家,D,这句话强调先为大家着想，有责任感。,3
语文,五年级,通用,,应用文,写通知时最不应该缺少哪一项？,,时间地点,随意涂鸦,很长的笑话,花边图案,A,通知最重要的是把时间、地点和事情说清楚。,2
语文,五年级,通用,,成语理解,下面哪个词语最适合形容做事有条理？,,手忙脚乱,井井有条,东倒西歪,糊里糊涂,B,“井井有条”表示做事很有条理。,2
语文,五年级,通用,,关联词,“如果明天放晴，我们就去春游。” 这句话前半句表示什么？,,结果,感叹,条件,命令,C,“如果……”常用来提出条件。,3
